secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
129,87,177,1.13317,26.1324,0,266,8.8,-0.57058440,44.84634046,0,-0.531981,8,0,53,82,76,23,21,0,0,0,0
130,87,177,1.14078,27.9792,0,264,8.8,-0.57059630,44.84640844,0,-0.264602,8,0,55,79,82.5,21,22.5,0,0,0,0
131,88,176,1.14883,29.088,0,250,8.8,-0.57060753,44.84648043,0,-0.519379,8,0,53,79,82.5,21,22.5,0,0,0,0
132,89,176,1.15701,29.124,0,247,9,-0.57061692,44.84655386,0,-0.53129,8,0,53,76,77,21.5,18.5,0,0,0,0
133,89,176,1.16522,29.4264,0,244,9,-0.57062337,44.84662762,0,-0.53129,8,0,53,78.5,76.5,21.5,20,0,0,0,0
134,89,176,1.17347,29.3904,0,223,9,-0.57062781,44.84670189,0,-0.53129,8,0,54,71,75,17,20.5,0,0,0,0
135,89,176,1.18166,28.7208,0,227,9,-0.57063108,44.84677556,0,-0.53129,8,0,54,71.5,71.5,20,18.5,0,0,0,0
136,88,176,1.18978,29.0232,0,256,9,-0.57063117,44.84684865,0,-0.277483,8,0,52,71.5,71.5,20,18.5,0,0,0,0
137,87,177,1.19785,28.7532,0,223,9,-0.57063167,44.84692132,0,-0.0243184,8,0,52,80,77,23,22,0,0,0,0
138,87,177,1.206,28.9872,0,256,9,-0.57062890,44.84699475,0,-0.0243184,8,0,52,75.5,73,21.5,19.5,0,0,0,0
139,88,177,1.21422,29.088,0,248,8.8,-0.57062446,44.84706859,0,0,8,0,52,83,76,24,21,0,0,0,0
140,88,176,1.22235,29.2248,0,227,8.8,-0.57062111,44.84714185,0,0,8,0,54,83,76,24,21,0,0,0,0
141,89,176,1.23062,29.2572,0,227,8.8,-0.57061130,44.84721595,0,0,8,0,56,83,76,24,21,0,0,0,0
142,89,176,1.23892,29.628,0,269,8.8,-0.57059856,44.84729013,0,-0.243309,8,0,56,75.5,75.5,22,19,0,0,0,0
143,89,176,1.24722,29.4912,0,247,8.6,-0.57059010,44.84736456,0,-0.484273,8,0,46,73.5,83.5,20,24,0,0,0,0
144,89,176,1.25544,29.5596,0,237,8.6,-0.57058138,44.84743832,0,-0.484273,8,0,53,74,74.5,19,20.5,0,0,0,0
145,89,176,1.2638,29.4912,0,223,8.6,-0.57056872,44.84751300,0,-0.484273,8,0,54,74,74.5,19,20.5,0,0,0,0
146,90,176,1.27219,29.7288,0,243,8.6,-0.57055615,44.84758802,0,-0.484273,8,0,54,73.5,70,20.5,19,0,0,0,0
147,90,176,1.28069,29.8944,0,233,8.8,-0.57054224,44.84766388,0,-0.248979,8,0,53,79,72.5,21.5,18.5,0,0,0,0
148,90,176,1.28913,29.8944,0,245,9,-0.57052882,44.84773923,0,-0.0120119,8,0,57,75,72.5,20.5,18.5,0,0,0,0
149,90,176,1.29758,29.9304,0,220,9,-0.57051516,44.84781467,0,0.231297,8,0,54,74,70.5,20,18,0,0,0,0
150,90,176,1.30597,29.862,0,223,9,-0.57049898,44.84788926,0,0.231297,8,0,57,74,70.5,20,18,0,0,0,0
151,90,175,1.31442,29.7612,0,246,9,-0.57048071,44.84796420,0,0.231297,8,0,57,74,69,20.5,18.5,0,0,0,0
152,89,176,1.32273,29.4912,0,251,9,-0.57046311,44.84803796,0,0.231297,8,0,54,77.5,69,21,17.5,0,0,0,0
153,89,176,1.33104,29.4912,0,269,9,-0.57044526,44.84811164,0,0.472261,8,0,51,81,70.5,21.5,20,0,0,0,0
154,89,175,1.33936,29.5272,0,285,9,-0.57042707,44.84818540,0,0.472261,8,0,53,78,81,22.5,21.5,0,0,0,0
155,89,175,1.34769,29.6928,0,285,9.2,-0.57040854,44.84825916,0,0.712357,8,0,53,78,81,22.5,21.5,0,0,0,0
156,90,175,1.35603,29.4912,0,297,9.2,-0.57038876,44.84833292,0,0.712357,8,0,53,83,81,25,21.5,0,0,0,0
157,89,175,1.36431,29.4912,0,254,9.4,-0.57036714,44.84840584,0,0.718609,8,0,50,80,81,22,20.5,0,0,0,0
158,89,176,1.37259,29.358,0,233,9.2,-0.57034384,44.84847851,0,0.240096,8,0,52,78,78.5,21.5,21,0,0,0,0
159,89,176,1.3809,29.4912,0,233,9.4,-0.57031819,44.84855102,0,0.48077,8,0,52,77,72.5,19.5,19,0,0,0,0
160,89,175,1.38921,29.3904,0,230,9.6,-0.57029078,44.84862319,0,0.721444,8,0,58,77,72.5,19.5,19,0,0,0,0
161,90,175,1.39751,29.8296,0,240,9.8,-0.57026077,44.84869477,0,0.962408,8,0,58,75.5,73.5,21.5,19.5,0,0,0,0
162,90,175,1.40582,29.7288,0,288,9.8,-0.57023060,44.84876643,0,0.962408,8,0,52,72.5,65.5,20.5,16.5,0,0,0,0
163,90,175,1.41422,30.096,0,265,9.6,-0.57020428,44.84883969,0,0.724312,8,0,57,74,72,21.5,17.5,0,0,0,0
164,90,175,1.4227,30.2328,0,242,10,-0.57017326,44.84891295,0,1.19601,8,0,54,74,72,21.5,17.5,0,0,0,0
165,91,175,1.43126,30.2328,0,278,10.2,-0.57013622,44.84898537,0,1.18956,8,0,54,69.5,72,18,17.5,0,0,0,0
166,91,175,1.43983,30.366,0,221,10.4,-0.57010269,44.84905871,0,1.42293,8,0,56,71,64.5,20.5,17,0,0,0,0
167,91,175,1.44825,30.1644,0,265,10.4,-0.57007268,44.84913138,0,1.18139,8,0,54,71,64.5,20.5,17,0,0,0,0
